id;type;fun_from;until;payment_method_id
1;Maintenance;2020-10-11T22:37:44;2020-10-12T10:38:23;1
2;UnderAttack;2020-10-12T00:54:55;2020-10-11T21:49:53;2
3;Maintenance;2020-10-12T05:00:41;2020-10-12T16:10:10;3
4;UnderAttack;2020-10-12T01:50:51;2020-10-12T13:22:11;4
5;UnderAttack;2020-10-12T01:18:45;2020-10-12T01:06:42;5
6;UnderAttack;2020-10-12T17:50:40;2020-10-12T13:04:19;6
7;UnderAttack;2020-10-12T07:15:27;2020-10-11T23:16:30;7
8;Maintenance;2020-10-12T11:38:20;2020-10-11T21:57:23;8
9;Maintenance;2020-10-11T22:36:41;2020-10-12T06:52:37;9
10;UnderAttack;2020-10-12T08:52:33;2020-10-12T05:57:14;10
