id;token;type;payload;valid_until;merchant_id
1;Chips paradigm;CARD;Nigeria transmit gold;2020-10-11T20:34:30;1
2;red;MOBILE;Meadow;2020-10-12T13:27:47;2
3;dot-com models;CODE;Adaptive;2020-10-12T04:57:17;3
4;Cheese;CODE;overriding hard drive Checking Account;2020-10-12T10:06:44;4
5;Administrator programming;CODE;granular models Clothing;2020-10-12T05:56:15;5
6;web-enabled Electronics partnerships;CARD;harness Factors XSS;2020-10-12T02:56:57;6
7;Liaison;CODE;JBOD 3rd generation;2020-10-12T01:25:11;7
8;calculating morph;MOBILE;Colombia;2020-10-12T17:01:45;8
9;deposit Savings Account;MOBILE;e-commerce;2020-10-12T14:59:40;9
10;Money Market Account;MOBILE;Mall synthesize Personal Loan Account;2020-10-12T00:15:42;10
